id;jhi_key;jhi_value;note;enabled
1;invoice Investment Account Mouse;Practical Rubber Chicken Street Directives;Clothing;true
2;Savings Account;Street Squares Codes specifically reserved for testing purposes;New Zealand Cambridgeshire transition;false
3;Tennessee motivating;Awesome pixel Fantastic;Handcrafted Steel Car communities;false
4;Home Loan Account AGP SMS;Savings Account Cambridgeshire;SMTP grey transmitter;false
5;back-end Manager Electronics;Nuevo Sol Personal Loan Account Investment Account;synthesizing Rustic Plastic Pants Practical Frozen Shirt;true
6;SCSI Paradigm Awesome;primary eyeballs;Multi-layered;false
7;value-added;Rustic;Granite Strategist;true
8;Executive;Home Bacon;migration;false
9;Ameliorated;compressing;virtual Quetzal;false
10;mint green solid state Soft;Refined Liaison;Ergonomic;false
