id;category;description;image_full;image_full_content_type;image_full_url;image_thumb;image_thumb_content_type;image_thumb_url
1;Investment Account Forge Licensed;auxiliary;4c6963656e736564;image/png;Marketing mobile Cayman Islands Dollar;696e70757420696e766f6963652063616c63756c617465;image/png;Philippine Peso parsing Triple-buffered
2;deposit Rand Namibia Dollar;Branding;546f77656c73204d697373697373697070692050726f64756374;image/png;Metal;6f6e6c696e652070726f6772616d20526566696e6564204772616e69746520476c6f766573;image/png;quantifying Baby
3;one-to-one Connecticut;Unbranded Tugrik;70726f6a656374696f6e204d616c6469766573;image/png;withdrawal alarm Timor-Leste;547261636b;image/png;Books CSS Holy See (Vatican City State)
4;Data Tasty Steel Pants Licensed Steel Shirt;Manor;62797061737320652d7365727669636573;image/png;Russian Federation program;656d756c6174696f6e2053514c;image/png;Persevering Gorgeous Steel Salad Associate
5;Fantastic whiteboard;lavender;5343534920436f6d6d756e69636174696f6e7320556e64657270617373;image/png;Officer parse;7175616e74696679696e672050686173656420636f6e6e656374696e67;image/png;Automated
6;architect;lavender;455845;image/png;Personal Loan Account Chile foreground;466f7277617264;image/png;Pre-emptive Reduced
7;Kids Customer;Practical AI didactic;436f6e66696775726174696f6e;image/png;Jewelery monitoring Infrastructure;5361696e742048656c656e6120506f756e64;image/png;Borders
8;Integration;Bond Markets Units European Composite Unit (EURCO);43616d6272696467657368697265;image/png;Borders Internal;4147502063697263756974;image/png;optical deposit
9;Pizza Fish next-generation;UIC-Franc;58535320525353204f7574646f6f7273;image/png;Music copying Reduced;416461707469766520626c61636b;image/png;Money Market Account
10;New York Concrete expedite;Solomon Islands;466163696c697461746f722032342f333635;image/png;Sausages bypass;627970617373206861726420647269766520486f6c6c6f77;image/png;Checking Account
