id;jhi_change;changed_entity;note;change_date
1;Buckinghamshire Avon;Checking Account;Swaziland;2019-05-10T05:15:28
2;parsing Bacon Shoes;white proactive;application Frozen;2019-05-10T01:10:28
3;upward-trending;Iceland Krona;digital streamline;2019-05-09T21:45:21
4;Metal override;North Dakota;Tennessee Factors facilitate;2019-05-10T14:11:10
5;Shoes;relationships Licensed contextually-based;B2C Garden;2019-05-09T16:41:54
6;Australian Dollar;withdrawal Home Loan Account payment;encoding;2019-05-09T19:25:11
7;Communications XML;B2B Product compelling;Baby hard drive;2019-05-09T22:49:27
8;Investment Account Consultant;encompassing;Incredible;2019-05-10T05:08:49
9;asymmetric rich connecting;Officer Identity Via;Rustic Wooden Bike;2019-05-10T11:52:01
10;Money Market Account Pants Architect;Global white;Center;2019-05-09T23:53:18
